Unique id,channel_name,category,Sub-category,Customer Remarks,Order_id,order_date_time,Issue_reported at,issue_responded,Survey_response_Date,Customer_City,Product_category,Item_price,connected_handling_time,Agent_name,Supervisor,Manager,Tenure Bucket,Agent Shift,CSAT Score,response_time_minutes,response_bucket
415f125e-d71e-41a6-8d79-ab9169b2c60b,Outcall,Returns,Return request,,a076e47c-cb0b-458d-b4bb-935e04203b1f,,2023-08-02 16:15:00,2023-08-02 16:17:00,02-Aug-23,,,,,Michael Allen,Mia Patel,Olivia Tan,0-30,Afternoon,4.0,2.0,0-5 min
3cc96e2f-74b4-4f5b-a4d5-9bf16ae14975,Inbound,Payments related,Payment related Queries,Godd job,91fd56f7-fef1-4d16-9839-0051bda0f370,,2023-08-02 16:50:00,2023-08-02 16:52:00,02-Aug-23,,,,,Samuel Spencer,Zoe Yamamoto,John Smith,>90,Afternoon,5.0,2.0,0-5 min
081f62d7-332f-4aac-91cf-e79758976725,Inbound,Returns,Reverse Pickup Enquiry,,2509fa08-318d-4526-8122-51603af956a8,15-07-2023 14:47,2023-08-01 08:55:00,2023-08-01 08:57:00,01-Aug-23,BETIA,Electronics,1099.0,,Cynthia Mills,William Park,John Smith,31-60,Morning,5.0,2.0,0-5 min
c0edcb0a-cfa8-4f35-86ad-88c9f6b47290,Inbound,Order Related,Order status enquiry,Issue not resolved pathetic service,e4eed4bb-1b1e-4894-bbd0-e2ba491b562b,29-07-2023 13:35,2023-08-02 11:07:00,2023-08-02 11:10:00,02-Aug-23,NEW DELHI,Mobile,99999.0,,Michelle Williams,Mason Gupta,Jennifer Nguyen,On Job Training,Morning,1.0,3.0,0-5 min
0187565a-b6ff-4180-9869-a29128267d51,Inbound,Order Related,Delayed,,24c3e082-0548-485b-a649-7e4dac116731,28-07-2023 10:52,2023-08-01 16:28:00,2023-08-01 16:31:00,01-Aug-23,KODERMA,Home Appliences,3199.0,,Carl Douglas,Emily Yamashita,Michael Lee,31-60,Morning,5.0,3.0,0-5 min
867c2b1d-3b4f-4434-87e0-125af687dc4a,Inbound,Returns,Fraudulent User,Excellent ,159aec02-1396-4dd7-95f4-acba7a790ff7,25-07-2023 13:49,2023-08-02 21:06:00,2023-08-02 21:07:00,02-Aug-23,FARIDABAD,LifeStyle,664.0,,Wendy Taylor,Madison Kim,Michael Lee,31-60,Evening,5.0,1.0,0-5 min
b92ce596-3d4f-4fb0-87b4-8223ccb5f63c,Inbound,Returns,Reverse Pickup Enquiry,,0e53b17c-6d33-4b57-9753-e788545bb995,,2023-08-02 07:09:00,2023-08-02 07:10:00,02-Aug-23,,,,,Jake Castro,Noah Patel,Michael Lee,>90,Morning,4.0,1.0,0-5 min
93c9b522-8046-4a69-82ad-96784b6d3fce,Inbound,Cancellation,Return cancellation,Very good ,57fa0ee6-7b49-4721-ad09-7a717fd7afeb,,2023-08-01 16:37:00,2023-08-01 21:37:00,01-Aug-23,,,,,Stephen Morris,Wyatt Kim,Michael Lee,>90,Evening,4.0,300.0,3+ hrs
0644deaa-8ff7-4ddf-baf7-5964da879d1b,Inbound,Returns,Reverse Pickup Enquiry,Give proper guidance to the customer ,57df6fba-465e-46a7-8a9d-98df37cf8f13,,2023-08-01 18:41:00,2023-08-01 18:42:00,01-Aug-23,,,,,Matthew Bennett,Olivia Wang,John Smith,>90,Evening,5.0,1.0,0-5 min
39fb5940-dffe-49bf-8f9b-936cb1994152,Inbound,Order Related,Unable to track,Please highlight if the products cannot be returned.,93992718-b762-4073-978a-c79ee02b561f,,2023-08-01 21:28:00,2023-08-01 22:20:00,01-Aug-23,,,,,Ashley Hamilton,Jackson Park,William Kim,On Job Training,Evening,1.0,52.0,30-60 min
b18b603b-2f31-49e5-8e68-64010c1c5674,Outcall,Returns,Reverse Pickup Enquiry,3000 rupees loss ,d99b00a1-24c6-4173-ab90-2fe0e0d5302f,,2023-08-02 11:09:00,2023-08-02 15:05:00,02-Aug-23,,,,,Rhonda Martin DVM,Wyatt Kim,Jennifer Nguyen,On Job Training,Morning,1.0,236.0,3+ hrs
95763fca-68b8-4651-bbff-6c46a5fa935e,Outcall,Order Related,Installation/demo,Please don't sale any destroy product or cheep product more price. ,5185b97f-7cfd-4dda-ba45-9697a1483f40,,2023-08-02 13:38:00,2023-08-02 13:42:00,02-Aug-23,,,,,Kevin Griffin,Evelyn Kimura,John Smith,0-30,Morning,5.0,4.0,0-5 min
1a097216-1af5-456d-831d-dccee89e53cd,Inbound,Returns,Reverse Pickup Enquiry,,8a04b086-7b38-44b6-a0fc-1c3243fe9993,,2023-08-02 13:55:00,2023-08-02 18:39:00,02-Aug-23,,,,,Dana Bridges,Mason Gupta,Jennifer Nguyen,On Job Training,Morning,4.0,284.0,3+ hrs
2cb983af-4a35-4d65-a8cf-3fb6605be62f,Inbound,Returns,Reverse Pickup Enquiry,,79d01ef2-c3bc-460b-8e9c-41ae47a90021,,2023-08-02 14:24:00,2023-08-02 14:26:00,02-Aug-23,,,,,Brandon Martin,Nathan Patel,John Smith,>90,Afternoon,5.0,2.0,0-5 min
ab5cf04a-f884-4bdf-acf3-c37989669c12,Outcall,Returns,Exchange / Replacement,,bc7a4a0a-700f-4158-b93e-ef508082f026,,2023-08-02 14:47:00,2023-08-02 14:50:00,02-Aug-23,,,,,Carmen Snow,Dylan Kim,Olivia Tan,>90,Morning,5.0,3.0,0-5 min
3205034e-38b5-4afc-adb7-2736a63943a5,Inbound,Order Related,Order status enquiry,I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was polite enough though he was not able to resolve the issue.But I am appalled at the utter lack of responsibility and accountability of Shopzilla in providing tracking services.,532a17a9-b82d-44e1-863c-a7a61cbae523,19-07-2023 00:11,2023-08-01 00:54:00,2023-08-01 01:05:00,01-Aug-23,KANYAKUMARI,Furniture,11159.0,,Charles Williamson,Logan Lee,Emily Chen,0-30,Evening,3.0,11.0,5-15 min
8305c058-38a8-4ac8-a024-baa1f53d44df,Outcall,Returns,Reverse Pickup Enquiry,,7a8cdbdf-3b92-40e5-a973-b0cc08e6d7d8,,2023-08-01 16:27:00,2023-08-01 16:27:00,01-Aug-23,,,,,Christopher Mcintosh,Oliver Nguyen,John Smith,>90,Morning,5.0,0.0,
5deed8bc-e04b-4c67-947f-eef58c70186e,Inbound,Order Related,Installation/demo,No comments ,933d1988-ecb4-491e-843c-740465605d0e,,2023-08-01 16:40:00,2023-08-01 16:44:00,01-Aug-23,,,,,David Warren,Elijah Yamaguchi,Emily Chen,>90,Morning,5.0,4.0,0-5 min
2c4d8e90-94f8-477f-b8da-9454dcd88511,Inbound,Order Related,Seller Cancelled Order,,29085dc4-1691-40d8-b2a4-4c6460197b55,,2023-08-01 17:37:00,2023-08-01 17:43:00,01-Aug-23,,,,,Tina Carroll,Layla Taniguchi,Emily Chen,>90,Morning,5.0,6.0,5-15 min
6e484bc5-2d75-4a92-8c17-9ca1d31ad702,Inbound,Order Related,Order status enquiry,,3dc78a3e-0cf3-4714-b4dd-3dc17de57a95,,2023-08-02 22:08:00,2023-08-02 23:22:00,02-Aug-23,,,,,Andrea Beck,Evelyn Kimura,Jennifer Nguyen,On Job Training,Evening,3.0,74.0,1-3 hrs
32a24547-ac59-4ea5-8cbe-e9b8b4f0f1ad,Inbound,Returns,Reverse Pickup Enquiry,  good ????,44714e55-902a-4b5e-ac6d-91589b904b84,,2023-08-01 08:09:00,2023-08-01 08:11:00,01-Aug-23,,,,,Jessica Nixon,Harper Wong,Emily Chen,>90,Split,5.0,2.0,0-5 min
4e4b10b7-70a9-4ace-9f82-b1bf18b3d9c9,Inbound,Returns,Wrong,customer service number plz available,7ac5b1bc-84e0-4962-b70f-26c8e789c956,,2023-08-01 09:56:00,2023-08-01 12:32:00,01-Aug-23,,,,,Christina Lopez,Isabella Wong,Emily Chen,>90,Split,5.0,156.0,1-3 hrs
40d2475b-6aef-4e67-9ccd-ed89e7425a6e,Inbound,Order Related,Order status enquiry,,691e7a18-2bce-46aa-9e9b-b594828cb033,,2023-08-01 12:19:00,2023-08-02 13:01:00,02-Aug-23,,,,,Christina Lopez,Isabella Wong,Emily Chen,>90,Split,5.0,1482.0,3+ hrs
5ec55f59-6cf4-4742-b445-82d7d44400a2,Inbound,Order Related,Order status enquiry,,ef53e1b4-502c-4859-9972-a41c1d87aa48,,2023-08-01 22:07:00,2023-08-01 22:08:00,01-Aug-23,,,,,Stacy Washington,Emily Yamashita,Michael Lee,>90,Morning,5.0,1.0,0-5 min
5dc8173a-6a43-44bf-851a-1120e1ed11c3,Inbound,Returns,Return request,Good,6cbb35ed-098b-4eb9-b756-fbfbb82dcc1f,,2023-08-01 13:47:00,2023-08-01 13:54:00,01-Aug-23,,,,,Kevin Randolph,Carter Park,Michael Lee,>90,Morning,5.0,7.0,5-15 min
5cab331d-6045-4fbb-9e26-24a65d97d34e,Inbound,Returns,Service Centres Related,,27a9f29f-899d-489f-ae06-c51f32234002,,2023-08-01 16:46:00,2023-08-01 16:48:00,01-Aug-23,,,,,Brittany Nunez,Emily Yamashita,John Smith,61-90,Evening,4.0,2.0,0-5 min
ee3ab837-88d4-44f2-a42b-d11aa4454d44,Inbound,Order Related,Order status enquiry,Respectful ,53d62950-27f6-49a6-88af-9378807681be,,2023-08-01 21:20:00,2023-08-01 21:21:00,01-Aug-23,,,,,Regina Harper,Harper Wong,William Kim,On Job Training,Evening,5.0,1.0,0-5 min
8518e776-fc14-4ba7-a585-42714d640856,Inbound,Product Queries,Product Specific Information,Very nice good,b6466d1a-7d65-4f71-a031-4268ecce6326,,2023-08-02 14:40:00,2023-08-02 14:41:00,02-Aug-23,,,,,Mr. Jeremy Sanchez,Wyatt Kim,Michael Lee,61-90,Afternoon,5.0,1.0,0-5 min
5f1efb7c-b447-430e-abb3-b20a7f41cb1f,Inbound,Returns,Reverse Pickup Enquiry,,315a0ea5-97dd-4e96-b820-5d3ca3a3fdef,24-07-2023 16:57,2023-07-31 23:58:00,2023-08-01 00:04:00,01-Aug-23,BURDWAN,Electronics,699.0,,David Todd,Noah Patel,Michael Lee,31-60,Evening,4.0,6.0,5-15 min
3275f3a2-3e6e-427f-afe7-2581d5fff9a8,Inbound,Returns,Service Centres Related,Even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue ,1caba2a4-7e0e-438c-835a-768f0faa83ba,,2023-08-01 06:28:00,2023-08-01 08:14:00,01-Aug-23,,,,,Tina Harrington,Carter Park,Michael Lee,>90,Morning,3.0,106.0,1-3 hrs
071eec38-550f-4b27-9a82-8350c00d89d4,Inbound,Returns,Reverse Pickup Enquiry,,f8199c58-6f00-410f-bab1-8d3fee78864b,,2023-08-01 08:12:00,2023-08-01 09:33:00,01-Aug-23,,,,,Nicole Cummings,Jackson Park,John Smith,>90,Morning,5.0,81.0,1-3 hrs
69df3f58-c191-417a-9a5b-e1b489d03504,Inbound,Returns,Fraudulent User,,40cfed5c-29a9-4050-b36e-01dc8b2bc270,,2023-08-01 16:17:00,2023-08-01 16:17:00,01-Aug-23,,,,,Mario Simpson,Nathan Patel,Jennifer Nguyen,On Job Training,Evening,5.0,0.0,
37875567-db26-40a1-af6d-05afa62a442e,Outcall,Returns,Fraudulent User,Thanks ,b4c9e1e7-1477-4370-889c-616451bf7f09,,2023-08-01 12:02:00,2023-08-01 13:44:00,01-Aug-23,,,,,Kristen Walker,Madison Kim,Emily Chen,>90,Split,5.0,102.0,1-3 hrs
511ff8ee-ca68-452f-9923-4b1c209a012c,Inbound,Order Related,Invoice request,,958deb25-4cd0-4c66-a9dc-bb258684fe37,,2023-08-01 15:22:00,2023-08-01 15:26:00,01-Aug-23,,,,,Troy Nguyen,Amelia Tanaka,Emily Chen,>90,Morning,5.0,4.0,0-5 min
d9956587-ceef-41e0-a334-9cff08dc92d1,Outcall,Returns,Return request,,5e3ca074-f3d2-4e49-83f9-3f383ca84d50,,2023-08-02 12:06:00,2023-08-02 13:03:00,02-Aug-23,,,,,Devon Daniel,Olivia Wang,Olivia Tan,0-30,Afternoon,5.0,57.0,30-60 min
c32c456b-0cd0-4659-9449-9fa8cb517944,Inbound,Order Related,Delayed,Try to deliver the product on time ,1df9c412-6100-46d8-9f51-6b78ccf69e84,,2023-08-01 21:40:00,2023-08-01 21:45:00,01-Aug-23,,,,,Michael Scott,Olivia Wang,John Smith,>90,Evening,5.0,5.0,0-5 min
b674778e-fcca-4d70-b773-d242536fbf11,Outcall,Returns,Return request,,f2943504-9065-4b46-8fc3-3b7ada13caa8,,2023-08-01 22:01:00,2023-08-01 22:04:00,01-Aug-23,,,,,Samantha Jones,Jacob Sato,Emily Chen,0-30,Evening,5.0,3.0,0-5 min
d3024d01-3f0c-4e6c-9625-705b3210a30b,Outcall,Returns,Wrong,Nice conversation good I will give rating for ?????,9764731c-7eb2-4757-a7d3-de7388bf98ed,,2023-08-02 08:00:00,2023-08-02 08:11:00,02-Aug-23,,,,,Noah Chase,Evelyn Kimura,John Smith,0-30,Morning,5.0,11.0,5-15 min
f68dcb6a-bd2d-405f-b16c-cab014f35003,Outcall,Returns,Wrong,,04189703-ec47-4038-87ce-31bd4a1ce004,,2023-08-02 10:53:00,2023-08-02 11:01:00,02-Aug-23,,,,,Sarah Taylor,Carter Park,Jennifer Nguyen,On Job Training,Morning,5.0,8.0,5-15 min
03140c69-1ffa-4960-9bc1-2d6751e510f9,Inbound,Returns,Reverse Pickup Enquiry,,58e31e81-1461-4827-bd13-783b46945cd4,,2023-08-02 12:34:00,2023-08-02 18:43:00,02-Aug-23,,,,,Amy Vazquez,Elijah Yamaguchi,Michael Lee,>90,Night,5.0,369.0,3+ hrs
a364f9ba-1ed8-48ed-94a0-25fd53394d16,Inbound,Returns,Reverse Pickup Enquiry,Keep it up Shopzilla ,77f14514-2de9-4a4d-bfd8-b1d6df32a58c,,2023-08-02 17:52:00,2023-08-02 17:56:00,02-Aug-23,,,,,Kristin Campbell,Ethan Tan,Michael Lee,>90,Evening,5.0,4.0,0-5 min
5d26cd4c-8de5-49a0-91aa-28afd43c6f82,Inbound,Returns,Missing,I am so happy ,f65fc715-2461-450e-a920-993d05bea04c,,2023-08-02 19:35:00,2023-08-02 19:45:00,02-Aug-23,,,,,Kelsey Garcia,Mia Yamamoto,Emily Chen,>90,Evening,5.0,10.0,5-15 min
bcdd0114-0895-4272-bf22-25173b20044a,Inbound,Order Related,Installation/demo,,926cc1b1-9ffb-48af-be9a-6dc418661551,,2023-08-01 09:50:00,2023-08-01 09:51:00,01-Aug-23,,,,,Guy Duncan,Carter Park,Jennifer Nguyen,On Job Training,Morning,1.0,1.0,0-5 min
8f139c65-c4e0-475f-880d-4bd79b4e125a,Inbound,Returns,Return request,,178d4482-65b7-4c97-aec0-27fd664a35cb,,2023-08-01 18:50:00,2023-08-01 18:52:00,01-Aug-23,,,,,Shannon Hicks,Aiden Patel,Olivia Tan,>90,Morning,5.0,2.0,0-5 min
d9118300-169c-418c-9f51-f88bb1808283,Inbound,Order Related,Delayed,,0529e1c0-30e7-464d-8422-c876f7b6137b,19-07-2023 15:13,2023-08-01 08:01:00,2023-08-01 08:06:00,01-Aug-23,RANGAREDDY,Mobile,24999.0,,Mrs. Jennifer Stone,Dylan Kim,Michael Lee,>90,Morning,1.0,5.0,0-5 min
7fa587d4-b78e-4cb2-9b86-1a374bbc5019,Inbound,Returns,Service Centres Related,,180c6939-c217-4118-880c-d325f1978925,21-06-2023 17:12,2023-08-02 15:48:00,2023-08-02 15:49:00,02-Aug-23,DHENKANAL,Electronics,15490.0,,Elizabeth Brown,Brayden Wong,Michael Lee,>90,Afternoon,5.0,1.0,0-5 min
fb44c670-7513-4033-9662-7ecbbcd97bee,Inbound,Returns,Reverse Pickup Enquiry,,c40d0b03-7e68-4c22-84f0-598c20719598,19-07-2023 22:21,2023-08-01 19:05:00,2023-08-01 19:12:00,01-Aug-23,VERAVAL,Home,166.0,,Sergio Carrillo,Emma Park,Jennifer Nguyen,On Job Training,Evening,5.0,7.0,5-15 min
fcbdfaf4-3be8-4bbc-b1ce-cc2520610bd2,Inbound,Returns,Reverse Pickup Enquiry,,5cf90c28-9dbd-4638-bda8-9bed4699eb35,,2023-08-01 12:08:00,2023-08-01 12:10:00,01-Aug-23,,,,,Kelly Martin,Aiden Patel,John Smith,>90,Morning,5.0,2.0,0-5 min
2187f746-c17e-428b-99e0-71ad3c78a5d6,Outcall,Order Related,Installation/demo,,12534008-64a7-4f6a-b21d-0e37f41ded49,,2023-08-02 06:35:00,2023-08-02 06:42:00,02-Aug-23,,,,,Kathy Strong,Sophia Sato,John Smith,0-30,Morning,1.0,7.0,5-15 min
976034d8-fede-4170-a54b-314a438e45b8,Inbound,Order Related,Priority delivery,,761acddc-54eb-4b53-84a3-a326f394665b,,2023-08-02 15:47:00,2023-08-02 15:50:00,02-Aug-23,,,,,Marvin Rivera,Carter Park,Jennifer Nguyen,On Job Training,Evening,5.0,3.0,0-5 min
5da0e227-ff4d-4ab5-9838-0aedd8feed2c,Inbound,Refund Related,Refund Related Issues,Very bad agent,dd1e3bf1-98ed-46cb-a3cd-72e445a617ec,26-07-2023 12:04,2023-08-02 13:18:00,2023-08-02 13:27:00,02-Aug-23,PATTAMUNDAI,Mobile,10999.0,,John Barrett,Aiden Patel,John Smith,>90,Morning,1.0,9.0,5-15 min
69ca89da-2d9d-4bd5-ba21-dac42fdd1966,Inbound,Returns,Return request,,6d6cf74c-fb6d-42a8-aa4d-1707d5e203a1,,2023-08-01 14:32:00,2023-08-01 14:34:00,01-Aug-23,,,,,Diana Sanchez,William Park,John Smith,0-30,Morning,5.0,2.0,0-5 min
2ab6bdf3-253b-455f-9c6a-0c20a7b6a3e1,Inbound,Returns,Reverse Pickup Enquiry,,ed44ccab-413e-4379-a389-aa669f032775,,2023-08-02 11:05:00,2023-08-02 11:07:00,02-Aug-23,,,,,Tina Ramirez,Zoe Yamamoto,John Smith,>90,Morning,5.0,2.0,0-5 min
0a26be6a-5acf-4b8e-b893-8833ed5ebf8d,Inbound,Returns,Reverse Pickup Enquiry,,dbf5658f-9422-4420-9d6e-adb8f095e686,,2023-08-02 16:19:00,2023-08-02 16:23:00,02-Aug-23,,,,,Michael Ruiz,Madison Kim,John Smith,>90,Morning,5.0,4.0,0-5 min
49070e97-e5f9-4181-aff5-b13f39fde8d0,Outcall,Returns,Reverse Pickup Enquiry,,478a19a7-2120-4a74-80a1-1d4fa4efe450,,2023-08-02 20:01:00,2023-08-02 20:04:00,02-Aug-23,,,,,Terri Carr,Brayden Wong,Michael Lee,>90,Afternoon,5.0,3.0,0-5 min
2e5772a1-0590-491a-8ffb-373ec61a874c,Inbound,Returns,Reverse Pickup Enquiry,,152f045e-5a5b-4d1b-996a-d3b4cf48188e,14-07-2023 22:09,2023-08-01 21:02:00,2023-08-01 21:02:00,01-Aug-23,PALAMU,LifeStyle,2129.0,,Seth Williamson,Sophia Sato,John Smith,>90,Afternoon,5.0,0.0,
83f82d1e-9d53-4755-8248-d7f468847ea6,Inbound,Order Related,Order status enquiry,,9fde7e27-5e80-489e-8113-d13a8ee53da0,,2023-08-01 13:09:00,2023-08-01 13:11:00,01-Aug-23,,,,,Lisa Wilson,Isabella Wong,Emily Chen,>90,Afternoon,5.0,2.0,0-5 min
6d4e0f89-37f5-4b30-aaee-a965c761703b,Outcall,Shopzilla Related,Signup Issues,,4bd865bd-5082-464a-bade-ec1324b550a3,,2023-08-02 13:21:00,2023-08-02 13:23:00,02-Aug-23,,,,,Brandon Frost,Carter Park,Michael Lee,>90,Morning,5.0,2.0,0-5 min
949ec901-78ad-4e05-8021-c9e666ac8b96,Inbound,Order Related,Invoice request,,10fd384a-fcb8-4d19-b309-f1bb845ea061,,2023-08-02 14:45:00,2023-08-02 14:48:00,02-Aug-23,,,,,Bruce Martin,Zoe Yamamoto,Emily Chen,>90,Split,5.0,3.0,0-5 min
da698468-225c-425a-8d0e-3147f4b3d389,Outcall,Order Related,Order status enquiry,Ok,7c6a0484-4533-4a33-97b7-58a7ecc3b095,,2023-08-02 10:59:00,2023-08-02 11:00:00,02-Aug-23,,,,,David Steele,Mason Gupta,Jennifer Nguyen,On Job Training,Morning,2.0,1.0,0-5 min
